,query,token,pos
2044,전주여행,아래,NNG
2045,전주여행,일정,NNG
2047,전주여행,참고,NNG
2060,전주여행,차,NNG
2061,전주여행,초등,NNG
2063,전주여행,학년,NNG
2072,전주여행,수학여행,NNG
2073,전주여행,코스,NNG
2074,전주여행,관광,NNG
2076,전주여행,달인,NNG
2080,전주여행,주달,NNG
2081,전주여행,봉이,NNG
2084,전주여행,코스,NNG
2085,전주여행,추천,NNG
2092,전주여행,감사,NNG
2096,전주여행,맛집,NNG
2097,전주여행,국내,NNG
2098,전주여행,전,NNG
2099,전주여행,주달,NNG
2100,전주여행,봉,NNG
2102,전주여행,달,NNG
2103,전주여행,봉,NNG
2104,전주여행,티비,NNG
2105,전주여행,코스,NNG
2110,전주여행,곳,NNG
2111,전주여행,여수,NNG
2112,전주여행,여수,NNG
2118,전주여행,제주,NNP
2124,전주여행,혼자,NNG
2125,전주여행,코스,NNG
2126,전주여행,질문,NNG
2129,전주여행,정보,NNG
2130,전주여행,정리,NNG
2134,전주여행,참고,NNG
2139,전주여행,주,NNG
2146,전주여행,덕진,NNP
2147,전주여행,공원,NNG
2148,전주여행,추천,NNP
2149,전주여행,덕진,NNP
2150,전주여행,공원,NNG
2152,전주여행,터미널,NNG
2156,전주여행,곳,NNG
2159,전주여행,산책,NNG
2165,전주여행,호수,NNG
2166,전주여행,공원,NNG
2169,전주여행,덕진,NNP
2170,전주여행,공원,NNG
2172,전주여행,생략,NNG
2176,전주여행,남부,NNG
2177,전주여행,시장,NNG
2182,전주여행,전시회,NNG
2183,전주여행,추천,NNG
2186,전주여행,이번,NNG
2187,전주여행,달,NNG
2188,전주여행,말,NNG
2190,전주여행,남자,NNG
2191,전주여행,친구,NNG
2196,전주여행,한옥마을,NNP
2202,전주여행,갈만,NNG
2204,전주여행,곳,NNG
2205,전주여행,공방,NNG
2206,전주여행,전시회,NNG
2212,전주여행,추천,NNG
2213,전주여행,부탁,NNG
2215,전주여행,안녕,NNG
2218,전주여행,질문,NNG
2221,전주여행,관련,NNG
2222,전주여행,답변,NNG
2236,전주여행,코스,NNG
2237,전주여행,추천,NNG
2238,전주여행,안녕,NNG
2241,전주여행,여자,NNG
2242,전주여행,친구,NNG
2246,전주여행,예정,NNG
2248,전주여행,숙소,NNG
2250,전주여행,더클래식,NNP
2251,전주여행,호텔,NNG
